DocId*,DistributorSynchid*,PostingDate*,Narration,Amount,crAmount,DrAmount,CompanyCode,Entry No_
BRV-APR18-1236,C0002400,27/04/2018,SHREYA TRADERS,-200000,200000,0,,2074213
BRV-APR18-1237,C0002820,27/04/2018,VINOD AGENCIES,-400000,400000,0,,2074215
BRV-APR18-1238,C0016370,27/04/2018,KEDIYA ENTERPRISES,-400000,400000,0,,2074217
BRV-APR18-1239,C0015020,27/04/2018,k.m.chokhani,-100000,100000,0,,2074219
BRV-APR18-1240,C0009530,27/04/2018,RAHUL TRADERS,-100000,100000,0,,2074221
BRV-APR18-1241,C0015020,27/04/2018,chandan tr.-bihar,-200000,200000,0,,2074223
BRV-APR18-1242,C0014870,27/04/2018,R.R.CORPORATION,-400000,400000,0,,2074225
BRV-APR18-1243,C0001490,27/04/2018,MUKESH CHANDRA GUPTA,-400000,400000,0,,2074227
BRV-APR18-1244,C0000310,27/04/2018,ANUP AGENCIES,-100000,100000,0,,2074229
BRV-APR18-1245,C0000310,27/04/2018,ANUP AGENCIES,-100000,100000,0,,2074231
BRV-APR18-1246,C0001610,27/04/2018,NIDHI AGENCIES,-260000,260000,0,,2074233
BRV-APR18-1247,G0000640,27/04/2018,NAV DURGA AGENCIES,-40000,40000,0,,2074235
BRV-APR18-1248,C0016360,27/04/2018,TARUN TRADERS,-150000,150000,0,,2074237
BRV-APR18-1249,G0000640,27/04/2018,NAV DURGA AGENCIES,-10000,10000,0,,2074239
BRV-APR18-1250,C0001800,27/04/2018,R.R.AGENCIES,-500000,500000,0,,2074241
SG-ST-18-01525,C0017770,28/04/2018,Invoice SG-ST-18-01419,203325.67,0,203325.67,,2074251
SG-ST-18-01524,C0016980,28/04/2018,Invoice SG-ST-18-01382,148379.19,0,148379.19,,2074257
SG-ST-18-01526,C0016580,28/04/2018,Invoice SG-ST-18-01422,224004.23,0,224004.23,,2074263
BRV-APR18-1251,C0013620,27/04/2018,S.K.AGENCY ,-500000,500000,0,,2074265
BRV-APR18-1252,C0013620,27/04/2018,S.K.AGENCY ,-300000,300000,0,,2074267
SG-ST-18-01527,C0017780,28/04/2018,Invoice SG-ST-18-01424,268280.23,0,268280.23,,2074271
SG-ST-18-01528,C0016710,28/04/2018,Invoice SG-ST-18-01425,419802.71,0,419802.71,,2074283
SG-ST-18-01529,C0013200,28/04/2018,Invoice SG-ST-18-01326,799985.78,0,799985.78,,2074289
SG-ST-18-01530,C0016540,28/04/2018,Invoice SG-ST-18-01348,571653.64,0,571653.64,,2074293
SG-ST-18-01531,C0000720,28/04/2018,Invoice SG-ST-18-01435,635430.02,0,635430.02,,2074299
BRV-APR18-0399,C0000220,13/04/2018,AMAN TRADERS,50000,-50000,0,,2074344
BRV-APR18-0231,C0017100,09/04/2018,SHREE RANI SATI AGENCY,100000,-100000,0,,2074346
SG-ST-18-01533,C0013280,28/04/2018,Invoice SG-ST-18-01372,1326565.85,0,1326565.85,,2074363
SG-ST-18-01534,C0015480,28/04/2018,Invoice SG-ST-18-01413,234884.67,0,234884.67,,2074392
SG-ST-18-01535,C0011740,28/04/2018,Invoice SG-ST-18-01407,173856.59,0,173856.59,,2074411
SG-ST-18-01536,C0002610,28/04/2018,Invoice SG-ST-18-01506,2912026.84,0,2912026.84,,2074419
SG-ST-18-01537,C0015700,28/04/2018,Invoice SG-ST-18-01574,12061.16,0,12061.16,,2074453
SG-SE-18-00410,G0000070,28/04/2018,Invoice SG-SE-18-00408,61974,0,61974,,2074480
SG-ST-18-01539,G0000740,28/04/2018,Invoice SG-ST-18-01516,225235.91,0,225235.91,,2074494
SG-ST-18-01540,G0000180,28/04/2018,Invoice SG-ST-18-01521,268401.21,0,268401.21,,2074498
SG-ST-18-01538,G0000460,28/04/2018,Invoice SG-ST-18-01510,170704.45,0,170704.45,,2074503
SG-ST-18-01541,G0000010,28/04/2018,Invoice SG-ST-18-01524,285139.04,0,285139.04,,2074506
SG-ST-18-01542,G0000070,28/04/2018,Invoice SG-ST-18-01525,425725.74,0,425725.74,,2074509
SG-ST-18-01543,C0011050,28/04/2018,Invoice SG-ST-18-01575,645766.15,0,645766.15,,2074555
SG-SE-18-00411,C0002470,28/04/2018,Invoice SG-SE-18-00428,25177,0,25177,,2074572
SG-ST-18-01545,C0002470,28/04/2018,Invoice SG-ST-18-01600,709621.65,0,709621.65,,2074579
SG-ST-18-01546,C0001020,28/04/2018,Invoice SG-ST-18-01557,252670.66,0,252670.66,,2074585
SG-ST-18-01547,C0001020,28/04/2018,Invoice SG-ST-18-01251,452973.16,0,452973.16,,2074591
SG-ST-18-01548,C0001050,28/04/2018,Invoice SG-ST-18-01129,1023358.47,0,1023358.47,,2074601
SG-ST-18-01550,C0000030,28/04/2018,Invoice SG-ST-18-01589,418446.01,0,418446.01,,2074615
SG-ST-18-01551,C0000710,29/04/2018,Invoice SG-ST-18-01577,1423971.32,0,1423971.32,,2074667
SG-SE-18-00413,C0009130,29/04/2018,Invoice SG-SE-18-00402,9210.5,0,9210.5,,2074670
SG-ST-18-01552,C0009130,29/04/2018,Invoice SG-ST-18-01538,746714.37,0,746714.37,,2074678
SG-SE-18-00414,C0000090,29/04/2018,Invoice SG-SE-18-00431,4144,0,4144,,2074681
